Component,Quantity,Compt. That we have
NODEMCU-ESP32 NODEMCU ESP32,1,/
BB-NMCU-BASE Expansion Board for NodeMCU,1,/
MAKER-DRIVE ,1,-
CN-BA-UM3-04 4xAA Battery Holder (Compact),1,/
CN-BA-18650-02 2x18650 Battery Holder,1,/
BA-PKC-4AA-HD PKCELL Heavy Duty AA Battery (4pcs),4,/
LI-3.7-2000 3.7V 2000mAh Li-Ion Battery,4,/
RS-025W-220R Resistor 0.25W 5% (220R),5,-
RS-025W-1K Resistor 0.25W 5% (1K),5,-
RS-025W-10K Resistor 0.25W 5% (10K),5,-
RS-025W-4K7 Resistor 0.25W 5% (4K7),2,-
BB-RELAY-5V-02 2 Channel DC 5V Relay Module,1,/
WR-USB-UBJ USB Micro B Cable,1,/
WR-JW-MM65 Male to Male Jumper Wire,1,/
WR-JW-40FF 40 Ways Female - Female Jumper Wire 20cm,1,/
WR-JW-40MF 40 Ways Male - Female Jumper Wire 20cm,1,/
BD-BB-0617-RJ Breadboard 16.5x5.5cm (830 Holes),1,/
CN-TB-CH2 Q Quick Wiring Terminal Press Type,2,/
BCY-NEO-STICK-8 RGB LED Stick (Neopixel-compatible) by Cytron,1,-
MO-TT-METAL TT Motor - Dual Metal Shaft,1,-
SN-PIR HC-SR501 PIR sensor Module,1,/
SN-IR-MOD Infrared Sensor Module,1,/
RFID-RC522 Mifare RC522 RFID Kit,1,/
T-SG90 SG90 Micro Servo,1,/
SN-MDS-MC38 MC-38 Magnetic Contact Switch Sensor,1,/
BOX-PACK-201308-PIZZA Pizza Box Packing 213x130x89mm,1,-
Corrugated board,1,/
Mounting board,1,/
Adhesive,1,/
Hinges,4,/
